DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
3/5/1990,0.126958311,NaN,12.27015992,3.240955987,3.686210023,3.556458406,2.483585576,4.054025365,NaN,5.992999732,1.748159157
3/6/1990,0.128785,NaN,12.31725879,3.234864927,3.677912285,3.523377,2.474248,4.069986095,NaN,6.098712375,1.757457358
3/7/1990,0.131524366,NaN,12.52922654,3.25923408,3.70281914,3.556458403,2.483585576,4.101907554,NaN,6.114974332,1.752807788
3/8/1990,0.135178411,NaN,12.67052479,3.277506846,3.71942128,3.639167,2.474248788,4.165749727,NaN,6.123105986,1.743509358
3/9/1990,0.137005483,NaN,12.81183157,3.277508068,3.702818283,3.663592457,2.474248788,4.141808,NaN,6.106846041,1.743508423
3/12/1990,0.137004777,NaN,12.71762928,3.277508068,3.68621228,3.66359422,2.483585,4.157771947,NaN,6.066185326,1.729561
3/13/1990,0.136092069,NaN,12.64697318,3.253139266,3.677910244,3.66359422,2.483585576,4.133830842,NaN,6.049918959,1.720262795
3/14/1990,0.136091306,NaN,12.717627,3.21049528,3.669607279,3.646632024,2.483585,4.189691459,NaN,5.968604955,1.743509073
3/15/1990,0.138831851,NaN,12.88248352,3.228771062,3.802445851,3.612708425,2.49292157,4.181710545,NaN,5.936077333,1.75280872
3/16/1990,0.148878718,NaN,13.18864367,3.307968,3.819049563,3.561824202,2.474248788,4.229592,NaN,5.960473735,1.776055721
3/19/1990,0.155272655,NaN,13.54191949,3.362795924,3.802444561,3.527904213,2.464910783,4.333340106,NaN,5.984867031,1.771406361
3/20/1990,0.157098801,NaN,13.63613063,3.39325613,3.78584243,3.493981237,2.455574786,4.365260734,NaN,5.968605687,1.757457433
3/21/1990,0.154358467,NaN,13.61257043,3.362796275,3.769234957,3.392216246,2.455574135,4.365262108,NaN,5.936078308,1.738860438
3/22/1990,0.154359268,NaN,13.70678206,3.326243106,3.744328362,3.307409008,2.427563566,4.333338287,NaN,5.903550981,1.724913084
3/23/1990,0.157099027,NaN,13.82453392,3.283599,3.711120283,3.42613721,2.427563566,4.333338831,NaN,5.968602948,1.748159523
