DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
3/5/1990,0.122391551,NaN,12.05819939,3.19222,3.594885,3.440666997,2.464912,3.990182446,NaN,5.911683689,1.720263
3/6/1990,0.126044865,NaN,12.15240101,3.192220854,3.611494005,3.473751972,2.446237645,3.998162811,NaN,5.952343292,1.720262493
3/7/1990,0.12787094,NaN,12.29371513,3.234866071,3.65300543,3.5233752,2.455575212,4.03008427,NaN,5.992999689,1.724911642
3/8/1990,0.127871429,NaN,12.38791084,3.234862801,3.677909881,3.573000197,2.446238424,4.046044275,NaN,5.992999682,1.729561283
3/9/1990,0.13243862,NaN,12.62342303,3.24704815,3.669609151,3.544864788,2.455575212,4.077965102,NaN,6.001134669,1.724911
3/12/1990,0.132437938,NaN,12.57632229,3.240955932,3.628096321,3.544866494,2.455574643,4.093929,NaN,6.017395637,1.715612927
3/13/1990,0.13243862,NaN,12.45856352,3.204403,3.60318972,3.612710967,2.455575212,4.077968263,NaN,5.919813284,1.692366641
3/14/1990,0.133351183,NaN,12.48211577,3.143482949,3.619793605,3.61271,2.455574643,4.101907447,NaN,5.708393228,1.701664855
3/15/1990,0.133351589,NaN,12.64697231,3.186126722,3.653004747,3.544864,2.464911215,4.125848,NaN,5.862892679,1.72956192
3/16/1990,0.142941807,NaN,12.83537644,3.216587669,3.769235873,3.460057797,2.455575212,4.149788377,NaN,5.895420723,1.752808918
3/19/1990,0.146138939,NaN,12.97669156,3.289691665,3.760933158,3.409176536,2.436900433,4.181713104,NaN,5.879156025,1.748159558
3/20/1990,0.148878528,NaN,13.2593122,3.32015187,3.727726428,3.358292776,2.418227641,4.285457064,NaN,5.887289639,1.729561283
3/21/1990,0.15070494,NaN,13.30640461,3.31406,3.711119,3.290449754,2.418227,4.325360261,NaN,5.887288917,1.720263
3/22/1990,0.148879,NaN,13.32996369,3.210494817,3.62809644,3.256525792,2.380879651,4.237573904,NaN,5.814103007,1.697016916
3/23/1990,0.149792152,NaN,13.49481724,3.240954663,3.653004305,3.290448342,2.399553217,4.253535169,NaN,5.87102362,1.715614
