symbol,timestamp,tradingDay,open,high,low,close,volume
"AAPL","2018-02-20T09:00:00-05:00","2018-02-20","172.05","173.04","171.52","172.862","4599043"
"AAPL","2018-02-20T10:00:00-05:00","2018-02-20","172.87","174","172.7","173.43","5210378"
"AAPL","2018-02-20T11:00:00-05:00","2018-02-20","173.44","174.26","173.3483","174.055","3360129"
"AAPL","2018-02-20T12:00:00-05:00","2018-02-20","174.07","174.24","173.68","173.77","2253196"
"AAPL","2018-02-20T13:00:00-05:00","2018-02-20","173.77","174.17","173.33","174.12","2281443"
"AAPL","2018-02-20T14:00:00-05:00","2018-02-20","174.12","174.15","171.47","172.59","3402849"
"AAPL","2018-02-20T15:00:00-05:00","2018-02-20","172.61","172.78","171.42","171.85","6440057"
"AAPL","2018-02-21T09:00:00-05:00","2018-02-21","172.83","173.59","172.425","173.03","3582047"
"AAPL","2018-02-21T10:00:00-05:00","2018-02-21","173.0352","173.78","172.81","173.7","4528713"
"AAPL","2018-02-21T11:00:00-05:00","2018-02-21","173.7","174.07","172.98","173.7","4241767"
"AAPL","2018-02-21T12:00:00-05:00","2018-02-21","173.7","173.74","172.66","173.09","3289746"
"AAPL","2018-02-21T13:00:00-05:00","2018-02-21","173.08","173.42","172.76","173.32","1878249"
"AAPL","2018-02-21T14:00:00-05:00","2018-02-21","173.32","174.12","173.09","173.43","4970763"
"AAPL","2018-02-21T15:00:00-05:00","2018-02-21","173.43","173.49","171.01","171.01","7854095"
"AAPL","2018-02-22T09:00:00-05:00","2018-02-22","171.8","173.37","171.71","172.7552","4273797"
"AAPL","2018-02-22T10:00:00-05:00","2018-02-22","172.78","173.9","172.4201","173.48","4822916"
"AAPL","2018-02-22T11:00:00-05:00","2018-02-22","173.4662","173.95","173.111","173.815","3151617"
"AAPL","2018-02-22T12:00:00-05:00","2018-02-22","173.82","173.91","172.73","173.04","2515959"
"AAPL","2018-02-22T13:00:00-05:00","2018-02-22","173.01","173.38","172.31","172.8402","2979971"
"AAPL","2018-02-22T14:00:00-05:00","2018-02-22","172.84","173.35","172.09","172.24","2631574"
"AAPL","2018-02-22T15:00:00-05:00","2018-02-22","172.25","173","171.81","172.6","5817904"
"AAPL","2018-02-23T09:00:00-05:00","2018-02-23","173.67","174.63","173.6","174.09","4814692"
"AAPL","2018-02-23T10:00:00-05:00","2018-02-23","174.07","174.45","173.54","174.395","4456143"
"AAPL","2018-02-23T11:00:00-05:00","2018-02-23","174.3952","174.79","174.13","174.65","3527833"
"AAPL","2018-02-23T12:00:00-05:00","2018-02-23","174.67","174.755","174.27","174.57","2223654"
"AAPL","2018-02-23T13:00:00-05:00","2018-02-23","174.57","174.5801","174.18","174.54","2064326"
"AAPL","2018-02-23T14:00:00-05:00","2018-02-23","174.53","175","174.27","174.98","3416454"
"AAPL","2018-02-23T15:00:00-05:00","2018-02-23","174.98","175.65","174.96","175.56","7624217"
"AAPL","2018-02-26T09:00:00-05:00","2018-02-26","176.35","178","176.21","177.725","5848853"
"AAPL","2018-02-26T10:00:00-05:00","2018-02-26","177.725","178.41","177.3","177.65","6072978"
"AAPL","2018-02-26T11:00:00-05:00","2018-02-26","177.66","179","177.599","178.83","4745063"
"AAPL","2018-02-26T12:00:00-05:00","2018-02-26","178.83","179.14","178.34","178.54","3799697"
"AAPL","2018-02-26T13:00:00-05:00","2018-02-26","178.535","179","178.51","178.945","2022706"
"AAPL","2018-02-26T14:00:00-05:00","2018-02-26","178.9466","179.39","178.0649","179.015","3218888"
"AAPL","2018-02-26T15:00:00-05:00","2018-02-26","179.01","179.3","178.5","178.98","5245552"
"AAPL","2018-02-27T09:00:00-05:00","2018-02-27","179.1","179.9","178.83","179.41","5179159"
"AAPL","2018-02-27T10:00:00-05:00","2018-02-27","179.39","180.48","178.78","179.06","7869445"
"AAPL","2018-02-27T11:00:00-05:00","2018-02-27","179.06","179.56","178.7","178.8","4086688"
"AAPL","2018-02-27T12:00:00-05:00","2018-02-27","178.77","179.43","178.16","179.36","3587469"
"AAPL","2018-02-27T13:00:00-05:00","2018-02-27","179.35","179.91","179.11","179.47","3446622"
"AAPL","2018-02-27T14:00:00-05:00","2018-02-27","179.475","179.78","178.98","179.515","3328007"
"AAPL","2018-02-27T15:00:00-05:00","2018-02-27","179.51","179.65","178.34","178.34","5270615"
"AAPL","2018-02-28T09:00:00-05:00","2018-02-28","179.26","179.9286","179.08","179.86","3435718"
"AAPL","2018-02-28T10:00:00-05:00","2018-02-28","179.86","180.615","179.2","179.6264","5597093"
"AAPL","2018-02-28T11:00:00-05:00","2018-02-28","179.63","179.79","178.51","179.14","3799194"
"AAPL","2018-02-28T12:00:00-05:00","2018-02-28","179.111","179.99","178.89","179.88","2050274"
"AAPL","2018-02-28T13:00:00-05:00","2018-02-28","179.87","180.35","179.42","180.32","2636848"
"AAPL","2018-02-28T14:00:00-05:00","2018-02-28","180.3099","180.49","179.28","179.46","2633526"
"AAPL","2018-02-28T15:00:00-05:00","2018-02-28","179.47","179.62","178.05","178.13","6191840"
"AAPL","2018-03-01T09:00:00-05:00","2018-03-01","178.54","179.36","177.49","177.91","4744863"
"AAPL","2018-03-01T10:00:00-05:00","2018-03-01","177.94","179.775","177.65","178.39","5782497"
"AAPL","2018-03-01T11:00:00-05:00","2018-03-01","178.38","178.97","178.17","178.33","2923702"
"AAPL","2018-03-01T12:00:00-05:00","2018-03-01","178.34","178.43","175.78","175.97","5316865"
"AAPL","2018-03-01T13:00:00-05:00","2018-03-01","175.97","175.97","173.27","173.29","7881080"
"AAPL","2018-03-01T14:00:00-05:00","2018-03-01","173.29","175.1","172.66","174.9457","7467109"
"AAPL","2018-03-01T15:00:00-05:00","2018-03-01","174.95","175.87","173.92","174.95","7215536"
"AAPL","2018-03-02T09:00:00-05:00","2018-03-02","172.8","174.31","172.45","173.555","5668204"
"AAPL","2018-03-02T10:00:00-05:00","2018-03-02","173.52","175.25","173.2862","174.54","6471954"
"AAPL","2018-03-02T11:00:00-05:00","2018-03-02","174.53","175.28","174.01","175.09","4088173"
"AAPL","2018-03-02T12:00:00-05:00","2018-03-02","175.06","176.13","174.87","175.81","3428299"
"AAPL","2018-03-02T13:00:00-05:00","2018-03-02","175.8","175.92","174.12","174.79","3233267"
