symbol,timestamp,tradingDay,open,high,low,close,volume
"BA","2018-02-20T09:00:00-05:00","2018-02-20","352","357.79","351.4","356.065","622549"
"BA","2018-02-20T10:00:00-05:00","2018-02-20","356.07","356.85","354.75","355.5468","429784"
"BA","2018-02-20T11:00:00-05:00","2018-02-20","355.6","357.54","355.22","356.57","373147"
"BA","2018-02-20T12:00:00-05:00","2018-02-20","356.44","357.19","355.51","355.94","195567"
"BA","2018-02-20T13:00:00-05:00","2018-02-20","356.1599","356.25","354.49","355.68","227529"
"BA","2018-02-20T14:00:00-05:00","2018-02-20","355.74","355.87","353.1","353.19","412610"
"BA","2018-02-20T15:00:00-05:00","2018-02-20","353.28","353.78","351.6307","353.06","654775"
"BA","2018-02-21T09:00:00-05:00","2018-02-21","352.56","356.315","352.3644","354.61","346592"
"BA","2018-02-21T10:00:00-05:00","2018-02-21","354.62","358.89","354.54","358.38","589312"
"BA","2018-02-21T11:00:00-05:00","2018-02-21","358.5","359.3298","357.3501","357.829","360648"
"BA","2018-02-21T12:00:00-05:00","2018-02-21","357.82","358.69","355.7","358.53","327635"
"BA","2018-02-21T13:00:00-05:00","2018-02-21","358.581","358.78","357.37","357.37","198809"
"BA","2018-02-21T14:00:00-05:00","2018-02-21","357.49","360.81","356.73","357.97","622954"
"BA","2018-02-21T15:00:00-05:00","2018-02-21","358.06","358.08","351.75","352.24","1017885"
"BA","2018-02-22T09:00:00-05:00","2018-02-22","354.65","356.61","352.64","354.78","418953"
"BA","2018-02-22T10:00:00-05:00","2018-02-22","354.88","357.89","353.95","357.03","410565"
"BA","2018-02-22T11:00:00-05:00","2018-02-22","357.04","358.02","356.15","357.655","281495"
"BA","2018-02-22T12:00:00-05:00","2018-02-22","357.79","358.07","354.5","354.71","266177"
"BA","2018-02-22T13:00:00-05:00","2018-02-22","354.92","355.62","354.01","355.15","269066"
"BA","2018-02-22T14:00:00-05:00","2018-02-22","355.29","357.81","355.27","355.66","277937"
"BA","2018-02-22T15:00:00-05:00","2018-02-22","355.7069","356.6","354.629","355.85","408881"
"BA","2018-02-23T09:00:00-05:00","2018-02-23","358.18","358.77","356.7","356.91","203970"
"BA","2018-02-23T10:00:00-05:00","2018-02-23","357.01","357.63","355.5","356.43","323232"
"BA","2018-02-23T11:00:00-05:00","2018-02-23","356.37","357.11","355.35","356.155","227705"
"BA","2018-02-23T12:00:00-05:00","2018-02-23","356.1502","356.2399","353.68","354.21","281051"
"BA","2018-02-23T13:00:00-05:00","2018-02-23","354.1212","354.27","353.0668","354.238","254503"
"BA","2018-02-23T14:00:00-05:00","2018-02-23","354.27","355.98","353.61","355.35","247582"
"BA","2018-02-23T15:00:00-05:00","2018-02-23","355.44","356.81","354.8","356.71","611827"
"BA","2018-02-26T09:00:00-05:00","2018-02-26","359.5","361.2306","358.9","359.96","448610"
"BA","2018-02-26T10:00:00-05:00","2018-02-26","359.9405","360.31","358.2123","359.63","359725"
"BA","2018-02-26T11:00:00-05:00","2018-02-26","359.5875","361.33","359.22","360.12","393872"
"BA","2018-02-26T12:00:00-05:00","2018-02-26","360.19","363.14","360.03","363.0489","348658"
"BA","2018-02-26T13:00:00-05:00","2018-02-26","363.0001","363.98","362.17","362.6343","321025"
"BA","2018-02-26T14:00:00-05:00","2018-02-26","362.59","363.76","362.2901","362.5901","211541"
"BA","2018-02-26T15:00:00-05:00","2018-02-26","362.62","364.05","362.38","363.41","518278"
"BA","2018-02-27T09:00:00-05:00","2018-02-27","364.6","367.72","363.3","365.59","508022"
"BA","2018-02-27T10:00:00-05:00","2018-02-27","365.6","369.1199","365.58","367.2707","618651"
"BA","2018-02-27T11:00:00-05:00","2018-02-27","367.26","369.15","366.4","367.85","482475"
"BA","2018-02-27T12:00:00-05:00","2018-02-27","367.85","369.89","366.6546","369.84","448591"
"BA","2018-02-27T13:00:00-05:00","2018-02-27","369.66","369.8358","367.53","367.92","298312"
"BA","2018-02-27T14:00:00-05:00","2018-02-27","368.06","368.41","366.41","366.92","414303"
"BA","2018-02-27T15:00:00-05:00","2018-02-27","366.85","367.1786","364.43","364.45","627180"
"BA","2018-02-28T09:00:00-05:00","2018-02-28","366.8","371.49","366.14","371.1512","620323"
"BA","2018-02-28T10:00:00-05:00","2018-02-28","371.16","371.6","367.04","367.4","620289"
"BA","2018-02-28T11:00:00-05:00","2018-02-28","367.35","369.24","366.6","369.24","479332"
"BA","2018-02-28T12:00:00-05:00","2018-02-28","369.27","369.535","367.21","368.781","318573"
"BA","2018-02-28T13:00:00-05:00","2018-02-28","368.76","368.79","367.35","368.42","246934"
"BA","2018-02-28T14:00:00-05:00","2018-02-28","368.52","369.39","365.261","365.71","349073"
"BA","2018-02-28T15:00:00-05:00","2018-02-28","365.695","366.37","362.21","362.31","935052"
"BA","2018-03-01T09:00:00-05:00","2018-03-01","362.33","362.74","354.12","356.4699","920374"
"BA","2018-03-01T10:00:00-05:00","2018-03-01","356.33","362.25","355.63","358.41","837773"
"BA","2018-03-01T11:00:00-05:00","2018-03-01","358.28","360.8","358.09","358.6573","278015"
"BA","2018-03-01T12:00:00-05:00","2018-03-01","358.815","358.85","355.681","356.5603","546228"
"BA","2018-03-01T13:00:00-05:00","2018-03-01","356.45","356.4533","349.41","349.425","1148233"
"BA","2018-03-01T14:00:00-05:00","2018-03-01","349.42","351.0506","346.4","350.14","1424707"
"BA","2018-03-01T15:00:00-05:00","2018-03-01","350.24","353.55","349.15","349.92","1321407"
"BA","2018-03-02T09:00:00-05:00","2018-03-02","341.82","342.6","335.3","338.22","1803293"
"BA","2018-03-02T10:00:00-05:00","2018-03-02","338.25","340.99","335.8192","339.89","1591385"
"BA","2018-03-02T11:00:00-05:00","2018-03-02","339.88","342.85","337.41","342.7529","969605"
"BA","2018-03-02T12:00:00-05:00","2018-03-02","342.62","345.8677","341.88","345.55","856434"
"BA","2018-03-02T13:00:00-05:00","2018-03-02","345.51","345.86","339.33","344.11","640320"
"BA","2018-03-02T14:00:00-05:00","2018-03-02","344.08","346.09","342.83","342.83","520472"
"BA","2018-03-02T15:00:00-05:00","2018-03-02","342.83","346.03","341.29","344.7","1013461"
"BA","2018-03-05T09:00:00-05:00","2018-03-05","338","342.33","336.61","338.43","922502"
"BA","2018-03-05T10:00:00-05:00","2018-03-05","338.45","340.72","336.95","340.6052","1007381"
"BA","2018-03-05T11:00:00-05:00","2018-03-05","340.5971","345.1","340.3","343.6513","819346"
"BA","2018-03-05T12:00:00-05:00","2018-03-05","343.58","345.19","342.58","345.03","529380"
"BA","2018-03-05T13:00:00-05:00","2018-03-05","344.9578","349.36","344.9","349.227","667009"
"BA","2018-03-05T14:00:00-05:00","2018-03-05","349.17","352.27","349","351.6","715631"
"BA","2018-03-05T15:00:00-05:00","2018-03-05","351.5452","354.77","351.5452","353.57","1085243"
"BA","2018-03-06T09:00:00-05:00","2018-03-06","354.24","355.21","349.17","352.45","614840"
"BA","2018-03-06T10:00:00-05:00","2018-03-06","352.4165","353.1612","347.99","348.5084","629972"
"BA","2018-03-06T11:00:00-05:00","2018-03-06","348.34","348.75","346.0219","347.565","409906"
"BA","2018-03-06T12:00:00-05:00","2018-03-06","347.5518","351.63","346.74","351.6019","382775"
"BA","2018-03-06T13:00:00-05:00","2018-03-06","351.5752","353.3995","349.5","350.3","472688"
"BA","2018-03-06T14:00:00-05:00","2018-03-06","350.2826","352.07","349.11","350.85","307909"
