symbol,timestamp,tradingDay,open,high,low,close,volume
"DWDP","2018-02-20T09:00:00-05:00","2018-02-20","71.23262","71.54104","71.20277","71.42165","427928"
"DWDP","2018-02-20T10:00:00-05:00","2018-02-20","71.4316","71.61584","71.12318","71.40673","677721"
"DWDP","2018-02-20T11:00:00-05:00","2018-02-20","71.4316","71.95888","71.35698","71.95888","526609"
"DWDP","2018-02-20T12:00:00-05:00","2018-02-20","71.9539","71.96883","71.42165","71.52113","1590700"
"DWDP","2018-02-20T13:00:00-05:00","2018-02-20","71.51118","71.54104","71.19283","71.50124","388396"
"DWDP","2018-02-20T14:00:00-05:00","2018-02-20","71.52113","71.56093","71.05354","71.05354","442611"
"DWDP","2018-02-20T15:00:00-05:00","2018-02-20","71.07345","71.45149","70.96401","71.24258","1050630"
"DWDP","2018-02-21T09:00:00-05:00","2018-02-21","71.13314","71.53109","70.94411","71.52113","368049"
"DWDP","2018-02-21T10:00:00-05:00","2018-02-21","71.53109","71.68032","71.21283","71.67036","443383"
"DWDP","2018-02-21T11:00:00-05:00","2018-02-21","71.67534","72.04842","71.44154","71.96614","437426"
"DWDP","2018-02-21T12:00:00-05:00","2018-02-21","71.96883","72.07826","71.7599","71.92904","455477"
"DWDP","2018-02-21T13:00:00-05:00","2018-02-21","71.91908","71.98872","71.7997","71.87929","293505"
"DWDP","2018-02-21T14:00:00-05:00","2018-02-21","71.87929","72.27724","71.71017","71.73006","592298"
"DWDP","2018-02-21T15:00:00-05:00","2018-02-21","71.74001","71.7599","70.55611","70.61581","2066190"
"DWDP","2018-02-22T09:00:00-05:00","2018-02-22","70.96401","71.24258","70.83467","71.17294","413069"
"DWDP","2018-02-22T10:00:00-05:00","2018-02-22","71.15303","71.7599","71.0436","71.61068","501592"
"DWDP","2018-02-22T11:00:00-05:00","2018-02-22","71.64053","72.29216","71.61068","72.1678","586153"
"DWDP","2018-02-22T12:00:00-05:00","2018-02-22","72.15785","72.25197","71.84944","71.84944","345248"
"DWDP","2018-02-22T13:00:00-05:00","2018-02-22","71.82954","72.07826","71.61068","71.76985","762437"
"DWDP","2018-02-22T14:00:00-05:00","2018-02-22","71.76985","71.98872","71.58083","71.62062","518755"
"DWDP","2018-02-22T15:00:00-05:00","2018-02-22","71.61068","71.90913","71.39181","71.56093","1635642"
"DWDP","2018-02-23T09:00:00-05:00","2018-02-23","72.08821","72.21754","71.73006","71.78976","428503"
"DWDP","2018-02-23T10:00:00-05:00","2018-02-23","71.79472","71.87919","71.33211","71.8196","524813"
"DWDP","2018-02-23T11:00:00-05:00","2018-02-23","71.83949","72.1479","71.69026","72.13418","445885"
"DWDP","2018-02-23T12:00:00-05:00","2018-02-23","72.12801","72.31703","72.10811","72.25515","399885"
"DWDP","2018-02-23T13:00:00-05:00","2018-02-23","72.25734","72.38667","72.11806","72.22749","484783"
"DWDP","2018-02-23T14:00:00-05:00","2018-02-23","72.22759","72.67519","72.17775","72.53899","679379"
"DWDP","2018-02-23T15:00:00-05:00","2018-02-23","72.53391","72.99355","72.53391","72.91396","1574763"
"DWDP","2018-02-26T09:00:00-05:00","2018-02-26","73.04328","73.2522","72.67519","72.89405","521496"
"DWDP","2018-02-26T10:00:00-05:00","2018-02-26","72.89405","73.32185","72.73488","72.81447","764144"
"DWDP","2018-02-26T11:00:00-05:00","2018-02-26","72.82939","73.37159","72.74503","73.25848","510096"
"DWDP","2018-02-26T12:00:00-05:00","2018-02-26","73.27211","73.52083","73.26215","73.46113","525855"
"DWDP","2018-02-26T13:00:00-05:00","2018-02-26","73.43128","73.49098","73.28206","73.38155","440793"
"DWDP","2018-02-26T14:00:00-05:00","2018-02-26","73.39149","73.48103","73.00449","73.3517","468737"
"DWDP","2018-02-26T15:00:00-05:00","2018-02-26","73.34175","73.7397","73.30195","73.67006","1565090"
"DWDP","2018-02-27T09:00:00-05:00","2018-02-27","73.27","73.72","73.07","73.71","415406"
"DWDP","2018-02-27T10:00:00-05:00","2018-02-27","73.71","73.82","72.93","73.058","933614"
"DWDP","2018-02-27T11:00:00-05:00","2018-02-27","73.03","73.24","72.73","72.805","835541"
"DWDP","2018-02-27T12:00:00-05:00","2018-02-27","72.8","73.37","72.68","73.32","414029"
"DWDP","2018-02-27T13:00:00-05:00","2018-02-27","73.33","73.39","73.045","73.06","337411"
"DWDP","2018-02-27T14:00:00-05:00","2018-02-27","73.06","73.13","72.85","72.85","509962"
