symbol,timestamp,tradingDay,open,high,low,close,volume
"JPM","2018-02-20T09:00:00-05:00","2018-02-20","114.65","115.39","114.6","114.83","1335848"
"JPM","2018-02-20T10:00:00-05:00","2018-02-20","114.84","114.84","113.98","114.265","1575308"
"JPM","2018-02-20T11:00:00-05:00","2018-02-20","114.26","115.14","114.1657","115.11","1258943"
"JPM","2018-02-20T12:00:00-05:00","2018-02-20","115.11","115.1999","114.86","114.98","898608"
"JPM","2018-02-20T13:00:00-05:00","2018-02-20","114.97","115.06","114.62","115.015","737524"
"JPM","2018-02-20T14:00:00-05:00","2018-02-20","115.01","115.03","114.51","114.56","882491"
"JPM","2018-02-20T15:00:00-05:00","2018-02-20","114.57","114.93","113.97","114.64","2306458"
"JPM","2018-02-21T09:00:00-05:00","2018-02-21","115","115.84","114.67","115.75","1062170"
"JPM","2018-02-21T10:00:00-05:00","2018-02-21","115.75","116.46","115.41","116.4","1720620"
"JPM","2018-02-21T11:00:00-05:00","2018-02-21","116.395","116.69","116.19","116.5338","1147442"
"JPM","2018-02-21T12:00:00-05:00","2018-02-21","116.54","116.79","116.13","116.76","1147828"
"JPM","2018-02-21T13:00:00-05:00","2018-02-21","116.7815","116.86","116.56","116.73","738875"
"JPM","2018-02-21T14:00:00-05:00","2018-02-21","116.73","117.45","116.62","117.16","2287555"
"JPM","2018-02-21T15:00:00-05:00","2018-02-21","117.16","117.18","115.09","115.2","3537165"
"JPM","2018-02-22T09:00:00-05:00","2018-02-22","115.5","116.03","115.01","115.33","1375908"
"JPM","2018-02-22T10:00:00-05:00","2018-02-22","115.34","115.53","114.985","115.25","1869486"
"JPM","2018-02-22T11:00:00-05:00","2018-02-22","115.24","116.33","115.21","116.21","1323030"
"JPM","2018-02-22T12:00:00-05:00","2018-02-22","116.22","116.425","115.78","116.01","1736112"
"JPM","2018-02-22T13:00:00-05:00","2018-02-22","116.01","116.3","115.63","115.91","1776363"
"JPM","2018-02-22T14:00:00-05:00","2018-02-22","115.9","116.255","115.28","115.34","1506269"
"JPM","2018-02-22T15:00:00-05:00","2018-02-22","115.33","115.55","114.76","114.99","2914543"
"JPM","2018-02-23T09:00:00-05:00","2018-02-23","115.31","116.03","115.31","115.64","1257862"
"JPM","2018-02-23T10:00:00-05:00","2018-02-23","115.64","115.94","115.34","115.48","1246672"
"JPM","2018-02-23T11:00:00-05:00","2018-02-23","115.47","115.97","115.46","115.94","1216311"
"JPM","2018-02-23T12:00:00-05:00","2018-02-23","115.934","116.29","115.84","116.27","1268710"
"JPM","2018-02-23T13:00:00-05:00","2018-02-23","116.27","116.425","116.02","116.19","807793"
"JPM","2018-02-23T14:00:00-05:00","2018-02-23","116.19","116.565","115.91","116.5348","1046536"
"JPM","2018-02-23T15:00:00-05:00","2018-02-23","116.54","117.39","116.54","117.35","2590442"
"JPM","2018-02-26T09:00:00-05:00","2018-02-26","118.14","118.2","117.33","117.72","1682411"
"JPM","2018-02-26T10:00:00-05:00","2018-02-26","117.73","117.83","117.33","117.47","1831530"
"JPM","2018-02-26T11:00:00-05:00","2018-02-26","117.47","117.94","117.32","117.67","1498702"
"JPM","2018-02-26T12:00:00-05:00","2018-02-26","117.67","118.38","117.67","118.35","1638399"
"JPM","2018-02-26T13:00:00-05:00","2018-02-26","118.35","118.48","118.17","118.239","1231876"
"JPM","2018-02-26T14:00:00-05:00","2018-02-26","118.23","118.42","117.7398","118.24","1417681"
"JPM","2018-02-26T15:00:00-05:00","2018-02-26","118.23","118.9","118.1748","118.83","3022240"
"JPM","2018-02-27T09:00:00-05:00","2018-02-27","118.91","119.08","117.69","117.92","2320652"
"JPM","2018-02-27T10:00:00-05:00","2018-02-27","117.915","119.06","117.905","118.856","2647496"
"JPM","2018-02-27T11:00:00-05:00","2018-02-27","118.85","119.33","118.47","118.55","2014646"
"JPM","2018-02-27T12:00:00-05:00","2018-02-27","118.55","118.87","118.08","118.8","1362052"
"JPM","2018-02-27T13:00:00-05:00","2018-02-27","118.8","119.12","118.48","118.61","1097855"
"JPM","2018-02-27T14:00:00-05:00","2018-02-27","118.62","118.67","117.92","118.24","1628581"
"JPM","2018-02-27T15:00:00-05:00","2018-02-27","118.24","118.43","117.35","117.3795","2554566"
"JPM","2018-02-28T09:00:00-05:00","2018-02-28","117.82","118.33","117.64","118.32","1344679"
"JPM","2018-02-28T10:00:00-05:00","2018-02-28","118.33","118.49","117.45","117.75","1532400"
"JPM","2018-02-28T11:00:00-05:00","2018-02-28","117.75","117.78","116.95","117.24","1421280"
"JPM","2018-02-28T12:00:00-05:00","2018-02-28","117.25","117.58","117.025","117.42","1175555"
"JPM","2018-02-28T13:00:00-05:00","2018-02-28","117.42","117.445","117.07","117.44","926461"
"JPM","2018-02-28T14:00:00-05:00","2018-02-28","117.43","117.75","116.65","116.72","1250268"
"JPM","2018-02-28T15:00:00-05:00","2018-02-28","116.727","116.845","115.35","115.37","3696623"
"JPM","2018-03-01T09:00:00-05:00","2018-03-01","115.48","116.29","115.29","115.48","1860589"
"JPM","2018-03-01T10:00:00-05:00","2018-03-01","115.52","116.6427","115.52","115.97","2134716"
"JPM","2018-03-01T11:00:00-05:00","2018-03-01","115.98","116.35","115.64","115.94","1356251"
"JPM","2018-03-01T12:00:00-05:00","2018-03-01","115.91","115.945","114.91","115.04","1427313"
"JPM","2018-03-01T13:00:00-05:00","2018-03-01","115.03","115.03","113.88","113.91","1948151"
"JPM","2018-03-01T14:00:00-05:00","2018-03-01","113.915","114.06","112.86","113.02","2876902"
"JPM","2018-03-01T15:00:00-05:00","2018-03-01","113.02","113.92","112.65","113.3","3485665"
"JPM","2018-03-02T09:00:00-05:00","2018-03-02","112.39","112.73","111.2","111.58","2265696"
"JPM","2018-03-02T10:00:00-05:00","2018-03-02","111.59","112.1","111.12","111.6","2975883"
"JPM","2018-03-02T11:00:00-05:00","2018-03-02","111.58","112.78","111.17","112.76","2229803"
"JPM","2018-03-02T12:00:00-05:00","2018-03-02","112.76","113.2948","112.29","113.13","1747139"
"JPM","2018-03-02T13:00:00-05:00","2018-03-02","113.14","113.2","111.98","112.32","1611792"
"JPM","2018-03-02T14:00:00-05:00","2018-03-02","112.295","112.97","112.26","112.4601","1515728"
"JPM","2018-03-02T15:00:00-05:00","2018-03-02","112.46","113.56","112.18","113.26","3030011"
"JPM","2018-03-05T09:00:00-05:00","2018-03-05","112.05","112.84","111.89","112.39","1211947"
"JPM","2018-03-05T10:00:00-05:00","2018-03-05","112.39","113.78","112.27","113.7148","1721557"
"JPM","2018-03-05T11:00:00-05:00","2018-03-05","113.71","114.85","113.6499","114.57","1500297"
"JPM","2018-03-05T12:00:00-05:00","2018-03-05","114.55","115.08","114.29","115.067","1189819"
"JPM","2018-03-05T13:00:00-05:00","2018-03-05","115.07","115.46","115.05","115.46","1102462"
"JPM","2018-03-05T14:00:00-05:00","2018-03-05","115.46","115.59","115.02","115.58","1199082"
"JPM","2018-03-05T15:00:00-05:00","2018-03-05","115.57","115.925","115.05","115.08","2409692"
"JPM","2018-03-06T09:00:00-05:00","2018-03-06","115.64","115.82","114.64","114.65","1365788"
"JPM","2018-03-06T10:00:00-05:00","2018-03-06","114.65","115.04","114.32","114.45","1342191"
"JPM","2018-03-06T11:00:00-05:00","2018-03-06","114.45","114.78","114.34","114.73","1100552"
"JPM","2018-03-06T12:00:00-05:00","2018-03-06","114.72","115.28","114.45","115.26","1162276"
"JPM","2018-03-06T13:00:00-05:00","2018-03-06","115.26","115.63","114.815","114.871","1032181"
"JPM","2018-03-06T14:00:00-05:00","2018-03-06","114.87","115.44","114.695","115.249","836185"
"JPM","2018-03-06T15:00:00-05:00","2018-03-06","115.24","115.31","114.92","115.17","1633718"
"JPM","2018-03-07T09:00:00-05:00","2018-03-07","113.75","114.54","113.37","114.05","1145949"
"JPM","2018-03-07T10:00:00-05:00","2018-03-07","114.04","114.51","113.81","114.42","1480667"
"JPM","2018-03-07T11:00:00-05:00","2018-03-07","114.41","114.425","113.35","113.37","1440549"
"JPM","2018-03-07T12:00:00-05:00","2018-03-07","113.375","113.64","113.11","113.59","1399538"
"JPM","2018-03-07T13:00:00-05:00","2018-03-07","113.58","113.86","113.12","113.785","1165202"
"JPM","2018-03-07T14:00:00-05:00","2018-03-07","113.795","114.26","113.63","114","1085093"
"JPM","2018-03-07T15:00:00-05:00","2018-03-07","113.9901","115.1","113.965","114.765","1913385"
"JPM","2018-03-08T09:00:00-05:00","2018-03-08","115.11","115.23","114.315","114.34","1038671"
"JPM","2018-03-08T10:00:00-05:00","2018-03-08","114.345","114.43","113.21","113.68","2083967"
"JPM","2018-03-08T11:00:00-05:00","2018-03-08","113.68","114.12","113.62","114.02","979827"
"JPM","2018-03-08T12:00:00-05:00","2018-03-08","114.04","114.18","113.63","113.98","702577"
"JPM","2018-03-08T13:00:00-05:00","2018-03-08","113.99","114.2854","113.84","114.26","575359"
"JPM","2018-03-08T14:00:00-05:00","2018-03-08","114.26","114.57","114.09","114.515","1032723"
"JPM","2018-03-08T15:00:00-05:00","2018-03-08","114.51","114.93","114.24","114.74","2505796"
"JPM","2018-03-09T09:00:00-05:00","2018-03-09","116.55","116.58","115.67","116.365","1461115"
"JPM","2018-03-09T10:00:00-05:00","2018-03-09","116.36","117.17","116.21","116.82","2086058"
"JPM","2018-03-09T11:00:00-05:00","2018-03-09","116.82","117.23","116.72","117.1","1233002"
"JPM","2018-03-09T12:00:00-05:00","2018-03-09","117.11","117.6","117.11","117.42","1241285"
"JPM","2018-03-09T13:00:00-05:00","2018-03-09","117.43","117.9","117.43","117.77","926082"
"JPM","2018-03-09T14:00:00-05:00","2018-03-09","117.79","118.08","117.69","117.72","1165195"
"JPM","2018-03-09T15:00:00-05:00","2018-03-09","117.73","118.05","117.63","118","2761599"
"JPM","2018-03-12T09:00:00-04:00","2018-03-12","118","118.75","117.82","118.3","1541733"
"JPM","2018-03-12T10:00:00-04:00","2018-03-12","118.31","118.525","117.61","117.63","1592329"
"JPM","2018-03-12T11:00:00-04:00","2018-03-12","117.63","117.84","117.37","117.53","1098430"
"JPM","2018-03-12T12:00:00-04:00","2018-03-12","117.53","117.72","117.25","117.44","686781"
