symbol,timestamp,tradingDay,open,high,low,close,volume
"PG","2018-02-20T09:00:00-05:00","2018-02-20","82.19","82.22","81.44","81.48","767183"
"PG","2018-02-20T10:00:00-05:00","2018-02-20","81.4801","81.7961","81.07","81.0756","1031330"
"PG","2018-02-20T11:00:00-05:00","2018-02-20","81.08","81.75","81.08","81.7247","784165"
"PG","2018-02-20T12:00:00-05:00","2018-02-20","81.72","81.83","81.5","81.6","398781"
"PG","2018-02-20T13:00:00-05:00","2018-02-20","81.6","81.6352","81.35","81.52","430313"
"PG","2018-02-20T14:00:00-05:00","2018-02-20","81.51","81.535","81.32","81.3801","621175"
"PG","2018-02-20T15:00:00-05:00","2018-02-20","81.385","81.515","81.22","81.32","1186033"
"PG","2018-02-21T09:00:00-05:00","2018-02-21","81.31","81.81","81.08","81.53","830978"
"PG","2018-02-21T10:00:00-05:00","2018-02-21","81.535","81.535","80.81","80.95","985170"
"PG","2018-02-21T11:00:00-05:00","2018-02-21","80.94","81.25","80.77","81.2305","633198"
"PG","2018-02-21T12:00:00-05:00","2018-02-21","81.23","81.28","81.04","81.19","491365"
"PG","2018-02-21T13:00:00-05:00","2018-02-21","81.1899","81.2599","80.9441","80.99","440733"
"PG","2018-02-21T14:00:00-05:00","2018-02-21","81","81.54","80.9","81.01","849493"
"PG","2018-02-21T15:00:00-05:00","2018-02-21","81.02","81.03","80.19","80.21","1925507"
"PG","2018-02-22T09:00:00-05:00","2018-02-22","80.47","80.71","80.24","80.27","901273"
"PG","2018-02-22T10:00:00-05:00","2018-02-22","80.27","81.16","80.17","81.0301","1326061"
"PG","2018-02-22T11:00:00-05:00","2018-02-22","81.03","81.15","80.89","81.06","735570"
"PG","2018-02-22T12:00:00-05:00","2018-02-22","81.07","81.28","80.95","81.06","1006948"
"PG","2018-02-22T13:00:00-05:00","2018-02-22","81.05","81.12","80.73","80.73","849332"
"PG","2018-02-22T14:00:00-05:00","2018-02-22","80.7339","81.05","80.63","80.65","699154"
"PG","2018-02-22T15:00:00-05:00","2018-02-22","80.65","80.95","80.55","80.84","1754856"
"PG","2018-02-23T09:00:00-05:00","2018-02-23","81.01","81.12","80.73","80.98","540721"
"PG","2018-02-23T10:00:00-05:00","2018-02-23","80.98","81.09","80.8","80.91","801684"
"PG","2018-02-23T11:00:00-05:00","2018-02-23","80.911","81.05","80.835","80.97","1433871"
"PG","2018-02-23T12:00:00-05:00","2018-02-23","80.97","80.99","80.66","80.75","745897"
"PG","2018-02-23T13:00:00-05:00","2018-02-23","80.745","80.8","80.48","80.6","826086"
"PG","2018-02-23T14:00:00-05:00","2018-02-23","80.605","80.93","80.59","80.87","1195377"
"PG","2018-02-23T15:00:00-05:00","2018-02-23","80.865","81.12","80.8049","81.07","2040806"
"PG","2018-02-26T09:00:00-05:00","2018-02-26","81.45","81.62","81.29","81.42","705001"
"PG","2018-02-26T10:00:00-05:00","2018-02-26","81.42","81.49","81.05","81.29","740566"
"PG","2018-02-26T11:00:00-05:00","2018-02-26","81.29","81.57","81.26","81.45","646906"
"PG","2018-02-26T12:00:00-05:00","2018-02-26","81.45","81.51","81.33","81.4","617291"
"PG","2018-02-26T13:00:00-05:00","2018-02-26","81.41","81.43","81.215","81.28","616435"
"PG","2018-02-26T14:00:00-05:00","2018-02-26","81.28","81.57","81.27","81.57","589207"
"PG","2018-02-26T15:00:00-05:00","2018-02-26","81.57","81.69","81.45","81.62","1631319"
"PG","2018-02-27T09:00:00-05:00","2018-02-27","81.89","82","81.4052","81.42","556926"
"PG","2018-02-27T10:00:00-05:00","2018-02-27","81.415","81.7605","81.05","81.18","846725"
"PG","2018-02-27T11:00:00-05:00","2018-02-27","81.18","81.44","80.92","80.93","741207"
"PG","2018-02-27T12:00:00-05:00","2018-02-27","80.92","81.07","80.74","81.05","879894"
"PG","2018-02-27T13:00:00-05:00","2018-02-27","81.05","81.11","80.695","80.83","558842"
"PG","2018-02-27T14:00:00-05:00","2018-02-27","80.83","81.1","80.715","80.9805","871920"
"PG","2018-02-27T15:00:00-05:00","2018-02-27","80.97","81.01","80.51","80.51","1448169"
"PG","2018-02-28T09:00:00-05:00","2018-02-28","80.68","80.79","80.01","80.03","925730"
"PG","2018-02-28T10:00:00-05:00","2018-02-28","80.025","80.025","79.33","79.4","1822113"
