symbol,timestamp,tradingDay,open,high,low,close,volume
"SPG","2018-02-20T09:00:00-05:00","2018-02-20","155.97","157.4","155.85","156.33","106976"
"SPG","2018-02-20T10:00:00-05:00","2018-02-20","156.34","156.57","155.8","156.54","155536"
"SPG","2018-02-20T11:00:00-05:00","2018-02-20","156.59","157.35","156.49","156.8101","147529"
"SPG","2018-02-20T12:00:00-05:00","2018-02-20","156.84","157.22","156.77","156.91","103667"
"SPG","2018-02-20T13:00:00-05:00","2018-02-20","156.9","156.9048","156.29","156.475","85143"
"SPG","2018-02-20T14:00:00-05:00","2018-02-20","156.45","156.585","155.97","155.98","111649"
"SPG","2018-02-20T15:00:00-05:00","2018-02-20","155.9838","156.06","155.53","155.55","270241"
"SPG","2018-02-21T09:00:00-05:00","2018-02-21","155","155.69","154.605","155.06","76547"
"SPG","2018-02-21T10:00:00-05:00","2018-02-21","155.01","155.26","154.25","154.92","98211"
"SPG","2018-02-21T11:00:00-05:00","2018-02-21","154.95","155.06","154.41","154.615","104102"
"SPG","2018-02-21T12:00:00-05:00","2018-02-21","154.66","154.75","153.94","154.14","66465"
"SPG","2018-02-21T13:00:00-05:00","2018-02-21","154.13","154.27","153.6","153.8","87675"
"SPG","2018-02-21T14:00:00-05:00","2018-02-21","153.79","154.36","152.51","152.51","156699"
"SPG","2018-02-21T15:00:00-05:00","2018-02-21","152.54","152.5821","151.28","151.28","520537"
"SPG","2018-02-22T09:00:00-05:00","2018-02-22","152.04","154.78","152.04","154.77","177392"
"SPG","2018-02-22T10:00:00-05:00","2018-02-22","154.78","155.09","154.26","154.9801","156616"
"SPG","2018-02-22T11:00:00-05:00","2018-02-22","155","155.35","154.75","155.2301","143735"
"SPG","2018-02-22T12:00:00-05:00","2018-02-22","155.2558","155.59","155.02","155.51","119695"
"SPG","2018-02-22T13:00:00-05:00","2018-02-22","155.545","155.96","154.79","155.05","141558"
"SPG","2018-02-22T14:00:00-05:00","2018-02-22","155","155.22","154","154.1","86772"
"SPG","2018-02-22T15:00:00-05:00","2018-02-22","154.11","154.465","153.58","153.95","263221"
"SPG","2018-02-23T09:00:00-05:00","2018-02-23","154.44","155.18","154.24","154.915","49423"
"SPG","2018-02-23T10:00:00-05:00","2018-02-23","155.01","155.18","154.02","154.1059","54424"
"SPG","2018-02-23T11:00:00-05:00","2018-02-23","154.16","155.415","153.88","155.35","103105"
"SPG","2018-02-23T12:00:00-05:00","2018-02-23","155.38","155.9","155.34","155.885","83468"
"SPG","2018-02-23T13:00:00-05:00","2018-02-23","155.94","156.3504","155.88","156.3504","74600"
"SPG","2018-02-23T14:00:00-05:00","2018-02-23","156.36","156.39","155.77","156.11","69741"
"SPG","2018-02-23T15:00:00-05:00","2018-02-23","156.105","156.66","155.89","156.62","230360"
"SPG","2018-02-26T09:00:00-05:00","2018-02-26","157.15","157.52","156.5","156.95","124580"
"SPG","2018-02-26T10:00:00-05:00","2018-02-26","157.05","158.03","156.76","157.27","117768"
"SPG","2018-02-26T11:00:00-05:00","2018-02-26","157.275","157.73","156.99","157.67","98741"
"SPG","2018-02-26T12:00:00-05:00","2018-02-26","157.615","158","157.3","157.67","57351"
"SPG","2018-02-26T13:00:00-05:00","2018-02-26","157.68","157.815","157.23","157.54","73436"
"SPG","2018-02-26T14:00:00-05:00","2018-02-26","157.53","158.24","157.2225","158.19","102587"
"SPG","2018-02-26T15:00:00-05:00","2018-02-26","158.1997","159.15","158.17","159.06","350270"
"SPG","2018-02-27T09:00:00-05:00","2018-02-27","160.11","161.08","159.23","159.74","170192"
"SPG","2018-02-27T10:00:00-05:00","2018-02-27","159.685","159.72","155.66","155.79","198381"
"SPG","2018-02-27T11:00:00-05:00","2018-02-27","155.79","156.02","154.82","154.9","203189"
"SPG","2018-02-27T12:00:00-05:00","2018-02-27","154.85","156.16","154.85","156.16","151909"
