symbol,timestamp,tradingDay,open,high,low,close,volume
"VZ","2018-02-20T09:00:00-05:00","2018-02-20","49.84","49.89","49.07","49.18","2135983"
"VZ","2018-02-20T10:00:00-05:00","2018-02-20","49.175","49.24","48.81","48.8738","3863314"
"VZ","2018-02-20T11:00:00-05:00","2018-02-20","48.87","49.09","48.79","49.0812","2355545"
"VZ","2018-02-20T12:00:00-05:00","2018-02-20","49.08","49.39","49.035","49.32","1433806"
"VZ","2018-02-20T13:00:00-05:00","2018-02-20","49.3102","49.36","49.0701","49.16","1424451"
"VZ","2018-02-20T14:00:00-05:00","2018-02-20","49.1562","49.1562","48.865","48.875","2041685"
"VZ","2018-02-20T15:00:00-05:00","2018-02-20","48.875","49.01","48.76","48.91","3774627"
"VZ","2018-02-21T09:00:00-05:00","2018-02-21","48.8","48.86","48.445","48.715","1858889"
"VZ","2018-02-21T10:00:00-05:00","2018-02-21","48.715","48.74","48.43","48.59","3140115"
"VZ","2018-02-21T11:00:00-05:00","2018-02-21","48.595","48.78","48.53","48.66","1872796"
"VZ","2018-02-21T12:00:00-05:00","2018-02-21","48.655","48.655","48.45","48.6","1322471"
"VZ","2018-02-21T13:00:00-05:00","2018-02-21","48.595","48.6","48.42","48.4742","2008587"
"VZ","2018-02-21T14:00:00-05:00","2018-02-21","48.475","48.84","48.435","48.5501","2822479"
"VZ","2018-02-21T15:00:00-05:00","2018-02-21","48.55","48.5656","47.94","47.96","4969692"
"VZ","2018-02-22T09:00:00-05:00","2018-02-22","48.25","48.7","48.13","48.28","2741451"
"VZ","2018-02-22T10:00:00-05:00","2018-02-22","48.285","48.465","48.16","48.2778","2194078"
"VZ","2018-02-22T11:00:00-05:00","2018-02-22","48.27","48.48","48.25","48.38","1412988"
"VZ","2018-02-22T12:00:00-05:00","2018-02-22","48.38","48.4756","48.22","48.275","1606853"
"VZ","2018-02-22T13:00:00-05:00","2018-02-22","48.27","48.35","48.01","48.08","1620931"
"VZ","2018-02-22T14:00:00-05:00","2018-02-22","48.085","48.16","47.91","47.9399","1628997"
"VZ","2018-02-22T15:00:00-05:00","2018-02-22","47.935","48.03","47.78","47.87","4014481"
"VZ","2018-02-23T09:00:00-05:00","2018-02-23","48.09","48.19","47.72","47.79","2389072"
"VZ","2018-02-23T10:00:00-05:00","2018-02-23","47.78","47.87","47.62","47.69","2265815"
"VZ","2018-02-23T11:00:00-05:00","2018-02-23","47.69","48.01","47.67","47.9","2623755"
"VZ","2018-02-23T12:00:00-05:00","2018-02-23","47.905","47.92","47.535","47.747","4489435"
"VZ","2018-02-23T13:00:00-05:00","2018-02-23","47.745","48.055","47.714","48.015","1721545"
"VZ","2018-02-23T14:00:00-05:00","2018-02-23","48.015","48.145","47.94","48.145","2409327"
"VZ","2018-02-23T15:00:00-05:00","2018-02-23","48.14","48.3","48.13","48.29","5326726"
"VZ","2018-02-26T09:00:00-05:00","2018-02-26","48.72","48.96","48.45","48.93","2764664"
"VZ","2018-02-26T10:00:00-05:00","2018-02-26","48.9325","49.15","48.55","48.72","3557697"
"VZ","2018-02-26T11:00:00-05:00","2018-02-26","48.73","48.9","48.6","48.645","1571902"
"VZ","2018-02-26T12:00:00-05:00","2018-02-26","48.645","48.8501","48.6","48.79","1316508"
"VZ","2018-02-26T13:00:00-05:00","2018-02-26","48.795","48.86","48.6768","48.79","1161410"
"VZ","2018-02-26T14:00:00-05:00","2018-02-26","48.785","48.87","48.6","48.795","2042369"
"VZ","2018-02-26T15:00:00-05:00","2018-02-26","48.79","49.1","48.76","49.09","4022767"
"VZ","2018-02-27T09:00:00-05:00","2018-02-27","49.02","49.09","48.74","48.75","1496294"
"VZ","2018-02-27T10:00:00-05:00","2018-02-27","48.76","49.17","48.73","48.905","2492320"
"VZ","2018-02-27T11:00:00-05:00","2018-02-27","48.905","49","48.55","48.665","2031061"
"VZ","2018-02-27T12:00:00-05:00","2018-02-27","48.6677","48.92","48.64","48.87","2172399"
"VZ","2018-02-27T13:00:00-05:00","2018-02-27","48.8749","48.94","48.68","48.69","1661179"
"VZ","2018-02-27T14:00:00-05:00","2018-02-27","48.69","48.75","48.5","48.6098","1765078"
"VZ","2018-02-27T15:00:00-05:00","2018-02-27","48.6","48.615","48.05","48.05","5510072"
"VZ","2018-02-28T09:00:00-05:00","2018-02-28","48.76","48.96","48.37","48.8261","2091134"
"VZ","2018-02-28T10:00:00-05:00","2018-02-28","48.83","48.83","48.44","48.555","2961499"
"VZ","2018-02-28T11:00:00-05:00","2018-02-28","48.56","48.565","48.09","48.17","1798589"
"VZ","2018-02-28T12:00:00-05:00","2018-02-28","48.17","48.5","48.1","48.4","1085561"
"VZ","2018-02-28T13:00:00-05:00","2018-02-28","48.4","48.4","48.2","48.36","778961"
"VZ","2018-02-28T14:00:00-05:00","2018-02-28","48.3668","48.55","48.06","48.07","1235884"
"VZ","2018-02-28T15:00:00-05:00","2018-02-28","48.08","48.18","47.72","47.72","3729273"
"VZ","2018-03-01T09:00:00-05:00","2018-03-01","47.69","48","47.51","47.715","2142229"
"VZ","2018-03-01T10:00:00-05:00","2018-03-01","47.715","48.38","47.645","48.19","3299890"
"VZ","2018-03-01T11:00:00-05:00","2018-03-01","48.2","48.6","48.11","48.461","2283433"
"VZ","2018-03-01T12:00:00-05:00","2018-03-01","48.47","48.48","48.16","48.24","1848235"
"VZ","2018-03-01T13:00:00-05:00","2018-03-01","48.23","48.34","47.95","48.07","2210286"
