symbol,timestamp,tradingDay,open,high,low,close,volume
"XOM","2018-02-20T09:00:00-05:00","2018-02-20","76.47","77.47","76.4","76.48","1785493"
"XOM","2018-02-20T10:00:00-05:00","2018-02-20","76.48","76.68","76.09","76.24","1541156"
"XOM","2018-02-20T11:00:00-05:00","2018-02-20","76.24","76.6148","76.13","76.56","1068673"
"XOM","2018-02-20T12:00:00-05:00","2018-02-20","76.55","76.665","76.15","76.18","723740"
"XOM","2018-02-20T13:00:00-05:00","2018-02-20","76.17","76.22","75.9202","76.075","1158736"
"XOM","2018-02-20T14:00:00-05:00","2018-02-20","76.08","76.11","75.67","75.68","1127318"
"XOM","2018-02-20T15:00:00-05:00","2018-02-20","75.68","75.83","75.461","75.73","2033831"
"XOM","2018-02-21T09:00:00-05:00","2018-02-21","75.82","75.98","75.49","75.76","723777"
"XOM","2018-02-21T10:00:00-05:00","2018-02-21","75.76","76.305","75.74","76.2251","1259171"
"XOM","2018-02-21T11:00:00-05:00","2018-02-21","76.22","76.435","76","76","1013350"
"XOM","2018-02-21T12:00:00-05:00","2018-02-21","76.01","76.0601","75.775","75.97","854348"
"XOM","2018-02-21T13:00:00-05:00","2018-02-21","75.975","75.995","75.82","75.9211","559908"
"XOM","2018-02-21T14:00:00-05:00","2018-02-21","75.93","76.31","75.637","75.71","1229431"
"XOM","2018-02-21T15:00:00-05:00","2018-02-21","75.71","75.7173","74.87","74.9","2785158"
"XOM","2018-02-22T09:00:00-05:00","2018-02-22","75.3","75.63","75.185","75.31","760309"
"XOM","2018-02-22T10:00:00-05:00","2018-02-22","75.31","75.83","75.23","75.755","1194227"
"XOM","2018-02-22T11:00:00-05:00","2018-02-22","75.755","76.84","75.755","76.73","2034710"
"XOM","2018-02-22T12:00:00-05:00","2018-02-22","76.74","76.8","76.49","76.61","1599780"
"XOM","2018-02-22T13:00:00-05:00","2018-02-22","76.62","76.66","76.22","76.36","1140014"
"XOM","2018-02-22T14:00:00-05:00","2018-02-22","76.35","76.41","75.94","75.97","1190206"
"XOM","2018-02-22T15:00:00-05:00","2018-02-22","75.96","76.11","75.64","75.87","2096522"
"XOM","2018-02-23T09:00:00-05:00","2018-02-23","76.09","76.92","75.95","76.9","1342561"
"XOM","2018-02-23T10:00:00-05:00","2018-02-23","76.9","76.93","76.505","76.78","1497010"
"XOM","2018-02-23T11:00:00-05:00","2018-02-23","76.79","77.2","76.64","77.1161","1303188"
"XOM","2018-02-23T12:00:00-05:00","2018-02-23","77.1153","77.17","76.9728","77.105","1016932"
"XOM","2018-02-23T13:00:00-05:00","2018-02-23","77.1","77.15","76.91","77.0245","726111"
"XOM","2018-02-23T14:00:00-05:00","2018-02-23","77.03","77.32","76.9","77.28","1070923"
"XOM","2018-02-23T15:00:00-05:00","2018-02-23","77.28","77.62","77.25","77.54","2701342"
"XOM","2018-02-26T09:00:00-05:00","2018-02-26","77.74","78.79","77.56","78.44","1989895"
"XOM","2018-02-26T10:00:00-05:00","2018-02-26","78.445","78.64","78","78","1865837"
"XOM","2018-02-26T11:00:00-05:00","2018-02-26","78.01","78.4575","77.98","78.12","1190031"
"XOM","2018-02-26T12:00:00-05:00","2018-02-26","78.12","78.56","78.11","78.52","1236860"
"XOM","2018-02-26T13:00:00-05:00","2018-02-26","78.52","78.58","78.35","78.455","745904"
"XOM","2018-02-26T14:00:00-05:00","2018-02-26","78.46","78.53","78.34","78.48","825196"
"XOM","2018-02-26T15:00:00-05:00","2018-02-26","78.48","78.93","78.4628","78.87","3684742"
"XOM","2018-02-27T09:00:00-05:00","2018-02-27","79","79.57","78.87","79.56","1286401"
"XOM","2018-02-27T10:00:00-05:00","2018-02-27","79.56","79.87","78.789","79.0654","2205177"
"XOM","2018-02-27T11:00:00-05:00","2018-02-27","79.06","79.3","78.7561","78.8","1105984"
"XOM","2018-02-27T12:00:00-05:00","2018-02-27","78.795","79.06","78.65","79.03","842892"
"XOM","2018-02-27T13:00:00-05:00","2018-02-27","79.04","79.04","78.53","78.56","777018"
"XOM","2018-02-27T14:00:00-05:00","2018-02-27","78.56","78.585","78.16","78.315","1336478"
"XOM","2018-02-27T15:00:00-05:00","2018-02-27","78.31","78.35","77.52","77.52","2756662"
"XOM","2018-02-28T09:00:00-05:00","2018-02-28","78.16","78.24","77.83","78.22","859148"
"XOM","2018-02-28T10:00:00-05:00","2018-02-28","78.22","78.25","77.21","77.3","1110958"
"XOM","2018-02-28T11:00:00-05:00","2018-02-28","77.31","77.395","77.02","77.32","1158530"
"XOM","2018-02-28T12:00:00-05:00","2018-02-28","77.33","77.3852","76.94","77.26","991398"
"XOM","2018-02-28T13:00:00-05:00","2018-02-28","77.26","77.27","76.72","76.95","832068"
"XOM","2018-02-28T14:00:00-05:00","2018-02-28","76.959","77.099","76.4","76.47","1142144"
"XOM","2018-02-28T15:00:00-05:00","2018-02-28","76.48","76.62","75.7","75.7","3680799"
"XOM","2018-03-01T09:00:00-05:00","2018-03-01","75.53","76.32","75.4","76.09","909600"
"XOM","2018-03-01T10:00:00-05:00","2018-03-01","76.09","76.6808","75.99","76.08","1498874"
"XOM","2018-03-01T11:00:00-05:00","2018-03-01","76.08","76.445","75.86","76.25","1176758"
"XOM","2018-03-01T12:00:00-05:00","2018-03-01","76.26","76.29","75.6","75.62","1030952"
"XOM","2018-03-01T13:00:00-05:00","2018-03-01","75.61","75.6163","75.14","75.195","1673145"
"XOM","2018-03-01T14:00:00-05:00","2018-03-01","75.19","75.35","74.855","75.1","2005443"
"XOM","2018-03-01T15:00:00-05:00","2018-03-01","75.1","75.49","74.9","75.14","3093165"
"XOM","2018-03-02T09:00:00-05:00","2018-03-02","74.89","75.46","74.6","74.82","1232958"
"XOM","2018-03-02T10:00:00-05:00","2018-03-02","74.82","74.91","74.48","74.66","1782875"
"XOM","2018-03-02T11:00:00-05:00","2018-03-02","74.64","75.21","74.52","75.085","1242641"
"XOM","2018-03-02T12:00:00-05:00","2018-03-02","75.08","75.23","74.78","74.99","1087815"
"XOM","2018-03-02T13:00:00-05:00","2018-03-02","74.99","75.1272","74.81","74.89","1072996"
"XOM","2018-03-02T14:00:00-05:00","2018-03-02","74.9","75.26","74.86","75.11","1152781"
"XOM","2018-03-02T15:00:00-05:00","2018-03-02","75.1053","75.87","74.95","75.55","2737817"
"XOM","2018-03-05T09:00:00-05:00","2018-03-05","75.23","76.2","75.18","75.94","1061275"
"XOM","2018-03-05T10:00:00-05:00","2018-03-05","75.95","76.085","75.64","76.07","1415648"
"XOM","2018-03-05T11:00:00-05:00","2018-03-05","76.075","76.56","76.05","76.34","1320645"
"XOM","2018-03-05T12:00:00-05:00","2018-03-05","76.335","76.46","76.16","76.45","1050636"
